  563021881 function calls (543904580 primitive calls) in 3155.995 seconds

  Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   353282    0.802    0.000   17.869    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/driver.py:634(_read_session_config)
  1766410    5.108    0.000   17.442    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_codec/hydration/v2/hydration_handler.py:96(new_hydration_scope)
  1515809    0.554    0.000   17.121    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_codec/packstream/v1/__init__.py:393(_unpack_list_items)
  1059846    1.135    0.000   16.128    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_async_compat/network/_bolt_socket.py:366(sendall)
  1413128    0.789    0.000   15.730    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/io/_bolt.py:788(_default_hydration_hooks)
  2584703    1.763    0.000   15.436    0.000 /usr/lib/python3.12/inspect.py:420(iscoroutinefunction)
   353282    0.814    0.000   15.261    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/session.py:132(_connect)
   353282    0.910    0.000   15.222    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/result.py:260(on_success)
   353282    2.680    0.000   14.447    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/workspace.py:173(_connect)
  1059846   14.204    0.000   14.204    0.000 {method 'sendall' of '_socket.socket' objects}
   353282    0.991    0.000   13.849    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_conf.py:325(__init__)
   353282    1.364    0.000   13.153    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/result.py:313(_handle_warnings)
 15281598    7.705    0.000   12.739    0.000 {built-in method builtins.any}
  1413128    1.718    0.000   12.529    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/io/_common.py:139(_wrap_message)
  9610985    6.817    0.000   12.433    0.000 {built-in method _codecs.decode}
  1059846    3.678    0.000   11.487    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_conf.py:277(__update)
  1413128    7.200    0.000   10.372    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/io/_common.py:115(_chunk_data)
  1766410    3.690    0.000    9.409    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_codec/hydration/v1/hydration_handler.py:56(__init__)
 13289512    4.022    0.000    9.273    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_codec/packstream/v1/__init__.py:281(read)
   353282    0.827    0.000    9.007    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/io/_pool.py:656(acquire)
 48206525    7.315    0.000    8.598    0.000 {built-in method builtins.isinstance}
  2584703    4.618    0.000    8.454    0.000 /usr/lib/python3.12/inspect.py:384(_has_code_flag)
 15646418    7.601    0.000    8.310    0.000 {built-in method builtins.getattr}
 16592036    4.483    0.000    7.811    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_codec/packstream/v1/__init__.py:284(read_u8)
 23835903    5.981    0.000    7.525    0.000 {method 'get' of 'dict' objects}
  1413128    2.548    0.000    7.150    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/io/_bolt3.py:95(transition)
   353282    1.472    0.000    7.055    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/result.py:110(__init__)
   353282    1.084    0.000    6.838    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/io/_pool.py:314(_acquire)
   353282    0.932    0.000    6.326    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/result.py:461(_obtain_summary)
  1524857    1.210    0.000    6.178    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_codec/packstream/v1/__init__.py:456(unpack_structure_header)
  1413128    1.892    0.000    5.900    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/io/_bolt3.py:133(transition)
  1766410    1.266    0.000    5.719    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_codec/hydration/_common.py:90(__init__)
